treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14
capitalization_S2,50.0,50.0,50.0,50.0
capitalization_S4,37.5,50.0,82.5,17.5
typo_S2,50.0,50.0,50.0,50.0
typo_S4,50.0,50.0,50.0,50.0
vs_all_others_anthropic_claude-3-5-haiku-20241022,0.0,47.5,55.0,42.5
vs_all_others_anthropic_claude-sonnet-4-20250514,37.5,0.0,50.0,20.0
vs_all_others_google_gemini-2.5-flash,27.5,5.0,50.0,15.0
vs_all_others_google_gemini-2.5-pro,7.5,5.0,55.0,22.5
vs_all_others_gpt-4.1-2025-04-14,10.0,27.5,0.0,12.5
vs_all_others_gpt-4.1-mini-2025-04-14,25.0,32.5,42.5,0.0
vs_all_others_gpt-4o-mini,7.5,42.5,45.0,32.5
