treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14
capitalization_S2,0.625,1.0,1.0,1.0
capitalization_S4,0.475,0.925,0.5,0.75
typo_S2,0.675,1.0,0.75,0.975
typo_S4,0.75,1.0,0.975,1.0
vs_all_others_anthropic_claude-3-5-haiku-20241022,0.0,0.55,0.7,0.7
vs_all_others_anthropic_claude-sonnet-4-20250514,0.475,0.0,0.225,0.25
vs_all_others_google_gemini-2.5-flash,0.45,0.45,0.325,0.3
vs_all_others_google_gemini-2.5-pro,0.475,0.375,0.3,0.45
vs_all_others_gpt-4.1-2025-04-14,0.475,0.55,0.0,0.35
vs_all_others_gpt-4.1-mini-2025-04-14,0.575,0.7,0.625,0.0
vs_all_others_gpt-4o-mini,0.55,0.6,0.425,0.55
