experiment,total_trials,correct_trials,accuracy,choice_1_pct
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,37,0.925,57.5
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,30,0.75,75.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,30,0.75,75.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,25,0.625,87.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,23,0.575,92.5
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,135,0.562,92.1
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,22,0.55,95.0
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,21,0.525,97.5
gpt-4.1-2025-04-14_control_vs_typo_S2,40,21,0.525,97.5
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,122,0.508,98.3
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,20,0.5,100.0
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,20,0.5,100.0
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,116,0.483,97.5
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,105,0.438,85.4
