experiment,base_model,treatment,accuracy,choice_1_pct,total_trials
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,anthropic_claude-3-5-haiku-20241022,capitalization_S2,1.0,50.0,40
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,anthropic_claude-3-5-haiku-20241022,typo_S2,1.0,50.0,40
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,anthropic_claude-3-5-haiku-20241022,typo_S4,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,anthropic_claude-sonnet-4-20250514,capitalization_S2,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,gpt-4.1-mini-2025-04-14,typo_S4,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,anthropic_claude-sonnet-4-20250514,typo_S2,1.0,50.0,40
gpt-4.1-2025-04-14_control_vs_capitalization_S2,gpt-4.1-2025-04-14,capitalization_S2,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,anthropic_claude-sonnet-4-20250514,typo_S4,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,gpt-4.1-mini-2025-04-14,typo_S2,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,gpt-4.1-mini-2025-04-14,capitalization_S2,1.0,50.0,40
gpt-4.1-2025-04-14_control_vs_typo_S4,gpt-4.1-2025-04-14,typo_S4,1.0,50.0,40
gpt-4.1-2025-04-14_control_vs_typo_S2,gpt-4.1-2025-04-14,typo_S2,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,gpt-4.1-mini-2025-04-14,capitalization_S4,0.9,40.0,40
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,anthropic_claude-3-5-haiku-20241022,capitalization_S4,0.85,40.0,40
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,control,0.325,22.5,40
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,other_model,0.7041666666666667,23.75,240
gpt-4.1-2025-04-14_control_vs_capitalization_S4,gpt-4.1-2025-04-14,capitalization_S4,0.525,62.5,40
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,control,0.425,42.5,40
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,other_model,0.30833333333333335,45.83333333333333,240
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,control,0.925,52.5,40
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,other_model,0.041666666666666664,50.0,240
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,control,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,other_model,0.0125,49.583333333333336,240
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,anthropic_claude-sonnet-4-20250514,capitalization_S4,0.025,47.5,40
