experiment,base_model,treatment,accuracy,choice_1_pct,total_trials
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,anthropic_claude-3-5-haiku-20241022,typo_S2,1.0,50.0,40
gpt-4.1-2025-04-14_control_vs_capitalization_S2,gpt-4.1-2025-04-14,capitalization_S2,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,anthropic_claude-sonnet-4-20250514,typo_S2,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,anthropic_claude-sonnet-4-20250514,capitalization_S2,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,gpt-4.1-mini-2025-04-14,typo_S4,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,gpt-4.1-mini-2025-04-14,capitalization_S2,1.0,50.0,40
gpt-4.1-2025-04-14_control_vs_typo_S4,gpt-4.1-2025-04-14,typo_S4,1.0,50.0,40
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,anthropic_claude-sonnet-4-20250514,typo_S4,1.0,50.0,40
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,gpt-4.1-mini-2025-04-14,typo_S2,1.0,50.0,40
gpt-4.1-2025-04-14_control_vs_typo_S2,gpt-4.1-2025-04-14,typo_S2,1.0,50.0,40
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,anthropic_claude-3-5-haiku-20241022,typo_S4,0.975,47.5,40
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,anthropic_claude-3-5-haiku-20241022,capitalization_S2,0.875,37.5,40
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,gpt-4.1-mini-2025-04-14,capitalization_S4,0.775,47.5,40
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,anthropic_claude-3-5-haiku-20241022,capitalization_S4,0.65,15.0,40
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,control,0.475,7.5,40
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,other_model,0.6416666666666667,15.0,240
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,anthropic_claude-sonnet-4-20250514,capitalization_S4,0.475,2.5,40
gpt-4.1-2025-04-14_control_vs_capitalization_S4,gpt-4.1-2025-04-14,capitalization_S4,0.375,62.5,40
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,control,0.725,22.5,40
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,other_model,0.26666666666666666,24.166666666666668,240
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,control,0.675,47.5,40
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,other_model,0.15416666666666667,50.416666666666664,240
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,control,0.925,52.5,40
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,other_model,0.1,52.5,240
