experiment,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,39,0.975,52.5
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,39,0.975,52.5
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,37,0.925,57.5
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,30,0.75,45.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,30,0.75,75.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,30,0.75,75.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,27,0.675,82.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,25,0.625,87.5
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,129,0.538,80.4
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,20,0.5,100.0
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,120,0.5,89.2
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,19,0.475,87.5
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,104,0.433,65.0
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,104,0.433,73.3
