treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.625,1.0,1.0,1.0
capitalization_S4,0.475,0.925,0.75,0.5
typo_S2,0.675,1.0,0.975,0.75
typo_S4,0.75,1.0,1.0,0.975
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.55,0.7,0.7
model_comparison_anthropic_claude-sonnet-4-20250514,0.475,,0.25,0.225
model_comparison_google_gemini-2.5-flash,0.45,0.45,0.3,0.325
model_comparison_google_gemini-2.5-pro,0.475,0.375,0.45,0.3
model_comparison_gpt-4o-mini,0.55,0.6,0.55,0.425
model_comparison_gpt-4.1-mini-2025-04-14,0.575,0.7,,0.625
model_comparison_gpt-4.1-2025-04-14,0.475,0.55,0.35,
