experiment,base_model,treatment,other_model,accuracy,choice_1_pct,total_trials,is_self_comparison
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,anthropic_claude-sonnet-4-20250514,typo_S4,,1.0,50.0,40,
gpt-4.1-2025-04-14_control_vs_capitalization_S2,gpt-4.1-2025-04-14,capitalization_S2,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,anthropic_claude-sonnet-4-20250514,typo_S2,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,anthropic_claude-sonnet-4-20250514,capitalization_S2,,1.0,50.0,40,
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,gpt-4.1-mini-2025-04-14,typo_S4,,1.0,50.0,40,
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,gpt-4.1-mini-2025-04-14,capitalization_S2,,1.0,50.0,40,
gpt-4.1-2025-04-14_control_vs_typo_S4,gpt-4.1-2025-04-14,typo_S4,,0.975,52.5,40,
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,gpt-4.1-mini-2025-04-14,typo_S2,,0.975,52.5,40,
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,anthropic_claude-sonnet-4-20250514,capitalization_S4,,0.925,57.49999999999999,40,
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,gpt-4.1-mini-2025-04-14,capitalization_S4,,0.75,45.0,40,
gpt-4.1-2025-04-14_control_vs_typo_S2,gpt-4.1-2025-04-14,typo_S2,,0.75,75.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,anthropic_claude-3-5-haiku-20241022,typo_S4,,0.75,75.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,anthropic_claude-3-5-haiku-20241022,typo_S2,,0.675,82.5,40,
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,anthropic_claude-3-5-haiku-20241022,capitalization_S2,,0.625,87.5,40,
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.55,95.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.45,75.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.375,72.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.55,80.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.7,70.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4o-mini,gpt-4o-mini,0.6,90.0,40,False
gpt-4.1-2025-04-14_control_vs_capitalization_S4,gpt-4.1-2025-04-14,capitalization_S4,,0.5,100.0,40,
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.475,87.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.45,90.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.475,87.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.475,87.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.575,87.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4o-mini,gpt-4o-mini,0.55,95.0,40,False
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,anthropic_claude-3-5-haiku-20241022,capitalization_S4,,0.475,87.5,40,
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.7,60.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.225,72.5,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.325,67.5,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.3,65.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.625,57.49999999999999,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.425,67.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.7,60.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.25,70.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.3,70.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.45,85.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.35,75.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.55,80.0,40,False
