experiment,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,39,0.975,52.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,37,0.925,52.5
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,35,0.875,62.5
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,202,0.842,43.3
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,134,0.558,26.7
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,96,0.4,55.0
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,50,0.208,40.0
