treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.975,1.0,1.0,1.0
capitalization_S4,0.925,1.0,1.0,0.875
typo_S2,1.0,1.0,1.0,1.0
typo_S4,1.0,1.0,1.0,1.0
model_comparison_anthropic_claude-3-5-haiku-20241022,,1.0,0.875,0.75
model_comparison_anthropic_claude-sonnet-4-20250514,0.0,,0.3,0.125
model_comparison_google_gemini-2.5-flash,0.05,0.55,0.325,0.125
model_comparison_google_gemini-2.5-pro,0.15,0.775,0.5,0.35
model_comparison_gpt-4o-mini,0.425,0.975,0.775,0.675
model_comparison_gpt-4.1-mini-2025-04-14,0.35,0.95,,0.375
model_comparison_gpt-4.1-2025-04-14,0.275,0.8,0.575,
