experiment,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,36,0.9,60.0
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,29,0.725,77.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,28,0.7,80.0
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,152,0.633,73.3
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,25,0.625,82.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,25,0.625,87.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,22,0.55,85.0
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,121,0.504,97.9
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,119,0.496,79.6
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,112,0.467,89.2
