treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.625,1.0,1.0,1.0
capitalization_S4,0.55,1.0,0.9,0.725
typo_S2,0.625,1.0,1.0,1.0
typo_S4,0.7,1.0,1.0,1.0
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.575,0.65,0.575
model_comparison_anthropic_claude-sonnet-4-20250514,0.475,,0.25,0.45
model_comparison_google_gemini-2.5-flash,0.5,0.625,0.4,0.5
model_comparison_google_gemini-2.5-pro,0.475,0.375,0.425,0.5
model_comparison_gpt-4o-mini,0.425,0.675,0.575,0.5
model_comparison_gpt-4.1-mini-2025-04-14,0.575,0.8,,0.5
model_comparison_gpt-4.1-2025-04-14,0.525,0.75,0.5,
