experiment_file,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,184,0.767,26.7
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,27,0.675,17.5
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,27,0.675,82.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,23,0.575,37.5
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,132,0.55,24.2
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,97,0.404,49.6
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,84,0.35,19.2
