experiment_file,base_model,treatment,other_model,accuracy,choice_1_pct,total_trials,is_self_comparison
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,anthropic_claude-3-5-haiku-20241022,capitalization_S2,,1.0,50.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,anthropic_claude-3-5-haiku-20241022,capitalization_S4,,0.575,37.5,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,anthropic_claude-3-5-haiku-20241022,typo_S2,,1.0,50.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,anthropic_claude-3-5-haiku-20241022,typo_S4,,1.0,50.0,40,
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.125,37.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.225,27.500000000000004,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.425,7.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.45,10.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.4,25.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4o-mini,gpt-4o-mini,0.475,7.5,40,False
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,anthropic_claude-sonnet-4-20250514,capitalization_S2,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,anthropic_claude-sonnet-4-20250514,capitalization_S4,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,anthropic_claude-sonnet-4-20250514,typo_S2,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,anthropic_claude-sonnet-4-20250514,typo_S4,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.975,47.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.55,5.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.55,5.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.775,27.500000000000004,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.825,32.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4o-mini,gpt-4o-mini,0.925,42.5,40,False
gpt-4.1-2025-04-14_control_vs_capitalization_S2,gpt-4.1-2025-04-14,capitalization_S2,,1.0,50.0,40,
gpt-4.1-2025-04-14_control_vs_capitalization_S4,gpt-4.1-2025-04-14,capitalization_S4,,0.675,82.5,40,
gpt-4.1-2025-04-14_control_vs_typo_S2,gpt-4.1-2025-04-14,typo_S2,,1.0,50.0,40,
gpt-4.1-2025-04-14_control_vs_typo_S4,gpt-4.1-2025-04-14,typo_S4,,1.0,50.0,40,
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.75,55.00000000000001,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.1,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.1,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.3,55.00000000000001,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.525,42.5,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.65,45.0,40,False
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,gpt-4.1-mini-2025-04-14,capitalization_S2,,1.0,50.0,40,
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,gpt-4.1-mini-2025-04-14,capitalization_S4,,0.675,17.5,40,
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,gpt-4.1-mini-2025-04-14,typo_S2,,1.0,50.0,40,
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,gpt-4.1-mini-2025-04-14,typo_S4,,1.0,50.0,40,
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.925,42.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.3,20.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.35,15.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.525,22.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.475,12.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.725,32.5,40,False
