treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.875,0.5,0.5,0.5
capitalization_S4,0.875,0.575,0.45,1.0
typo_S2,0.825,0.5,0.525,0.75
typo_S4,0.75,0.5,0.5,0.525
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.95,0.6,0.6
model_comparison_anthropic_claude-sonnet-4-20250514,0.875,,0.7,0.725
model_comparison_google_gemini-2.5-flash,0.9,0.75,0.7,0.675
model_comparison_google_gemini-2.5-pro,0.875,0.725,0.85,0.65
model_comparison_gpt-4o-mini,0.95,0.9,0.8,0.675
model_comparison_gpt-4.1-mini-2025-04-14,0.875,0.7,,0.575
model_comparison_gpt-4.1-2025-04-14,0.875,0.8,0.75,
