experiment_file,total_trials,correct_trials,accuracy,choice_1_pct
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,38,0.95,55.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,38,0.95,55.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,38,0.95,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,37,0.925,57.5
gpt-4.1-2025-04-14_control_vs_typo_S2,40,36,0.9,60.0
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,157,0.654,53.8
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,20,0.5,100.0
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,115,0.479,94.6
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,115,0.479,62.9
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,19,0.475,72.5
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,113,0.471,66.2
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,16,0.4,55.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,15,0.375,82.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,9,0.225,67.5
