treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.475,1.0,1.0,0.925
capitalization_S4,0.4,0.95,0.95,0.5
typo_S2,0.225,1.0,1.0,0.9
typo_S4,0.375,1.0,1.0,0.95
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.675,0.825,0.575
model_comparison_anthropic_claude-sonnet-4-20250514,0.45,,0.275,0.425
model_comparison_google_gemini-2.5-flash,0.525,0.5,0.275,0.45
model_comparison_google_gemini-2.5-pro,0.375,0.35,0.4,0.45
model_comparison_gpt-4o-mini,0.575,0.75,0.7,0.475
model_comparison_gpt-4.1-mini-2025-04-14,0.425,0.85,,0.5
model_comparison_gpt-4.1-2025-04-14,0.475,0.8,0.4,
