treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.725,0.5,0.5,0.575
capitalization_S4,0.55,0.55,0.5,1.0
typo_S2,0.675,0.5,0.5,0.6
typo_S4,0.825,0.5,0.5,0.55
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.725,0.525,0.925
model_comparison_anthropic_claude-sonnet-4-20250514,0.7,,0.725,0.925
model_comparison_google_gemini-2.5-flash,0.725,0.4,0.675,0.95
model_comparison_google_gemini-2.5-pro,0.675,0.45,0.65,0.95
model_comparison_gpt-4o-mini,0.675,0.65,0.55,0.975
model_comparison_gpt-4.1-mini-2025-04-14,0.675,0.45,,0.95
model_comparison_gpt-4.1-2025-04-14,0.525,0.55,0.65,
