experiment_file,total_trials,correct_trials,accuracy,choice_1_pct
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,34,0.85,35.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,31,0.775,27.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,21,0.525,7.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,9,0.225,27.5
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,280,51,0.182,46.1
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,7,0.175,52.5
gpt-4.1-2025-04-14_vs_all_others_control_comparison,280,44,0.157,50.0
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,280,42,0.15,50.0
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,280,39,0.139,49.6
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,1,0.025,52.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,0,0.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,0,0.0,50.0
