treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.275,0.35,0.5,0.5
capitalization_S4,0.5,0.5,0.525,0.525
typo_S2,0.075,0.5,0.5,0.5
typo_S4,0.275,0.5,0.5,0.5
model_comparison_anthropic_claude-3-5-haiku-20241022,0.5,0.5,0.5,0.5
model_comparison_anthropic_claude-sonnet-4-20250514,0.475,0.5,0.5,0.5
model_comparison_google_gemini-2.5-flash,0.5,0.5,0.5,0.5
model_comparison_google_gemini-2.5-pro,0.5,0.5,0.5,0.5
model_comparison_gpt-4o-mini,0.475,0.5,0.5,0.5
model_comparison_gpt-4.1-mini-2025-04-14,0.4,0.5,0.475,0.5
model_comparison_gpt-4.1-2025-04-14,0.375,0.5,0.5,0.5
