experiment_file,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,36,0.9,40.0
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,34,0.85,40.0
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,280,182,0.65,23.6
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,21,0.525,62.5
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,280,91,0.325,45.4
gpt-4.1-2025-04-14_vs_all_others_control_comparison,280,47,0.168,50.4
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,280,43,0.154,49.6
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,1,0.025,47.5
