treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.55,1.0,1.0,0.75
capitalization_S4,0.525,0.925,0.75,0.5
typo_S2,0.5,1.0,1.0,0.525
typo_S4,0.575,1.0,1.0,0.625
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.5,0.525,0.525
model_comparison_anthropic_claude-sonnet-4-20250514,0.5,,0.35,0.5
model_comparison_google_gemini-2.5-flash,0.5,0.55,0.325,0.425
model_comparison_google_gemini-2.5-pro,0.475,0.525,0.425,0.45
model_comparison_gpt-4o-mini,0.5,0.525,0.575,0.5
model_comparison_gpt-4.1-mini-2025-04-14,0.525,0.7,,0.5
model_comparison_gpt-4.1-2025-04-14,0.55,0.575,0.425,
