treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.825,0.5,0.5,0.5
capitalization_S4,0.85,0.5,0.6,0.775
typo_S2,0.875,0.5,0.5,0.5
typo_S4,0.8,0.5,0.5,0.5
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.925,0.85,0.925
model_comparison_anthropic_claude-sonnet-4-20250514,0.725,,0.75,0.95
model_comparison_google_gemini-2.5-flash,0.75,0.775,0.9,1.0
model_comparison_google_gemini-2.5-pro,0.875,0.625,0.925,1.0
model_comparison_gpt-4o-mini,0.825,0.825,0.925,1.0
model_comparison_gpt-4.1-mini-2025-04-14,0.875,0.6,,1.0
model_comparison_gpt-4.1-2025-04-14,0.725,0.65,1.0,
