experiment_file,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,39,0.975,47.5
gpt-4.1-2025-04-14_control_vs_typo_S4,40,38,0.95,55.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,32,0.8,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,30,0.75,70.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,26,0.65,45.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,22,0.55,5.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,22,0.55,5.0
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,20,0.5,5.0
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,280,110,0.393,21.4
gpt-4.1-2025-04-14_control_vs_typo_S2,40,15,0.375,77.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,12,0.3,20.0
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,280,55,0.196,43.2
gpt-4.1-2025-04-14_vs_all_others_control_comparison,280,40,0.143,50.0
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,280,40,0.143,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,4,0.1,40.0
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,0,0.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,0,0.0,50.0
