treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.5,1.0,0.65,0.75
capitalization_S4,0.3,0.1,0.0,0.0
typo_S2,0.55,1.0,0.8,0.375
typo_S4,0.55,1.0,0.975,0.95
model_comparison_anthropic_claude-3-5-haiku-20241022,,0.175,0.0,0.0
model_comparison_anthropic_claude-sonnet-4-20250514,0.3,,0.0,0.0
model_comparison_google_gemini-2.5-flash,0.3,0.0,0.0,0.0
model_comparison_google_gemini-2.5-pro,0.35,0.1,0.0,0.0
model_comparison_gpt-4o-mini,0.275,0.025,0.0,0.0
model_comparison_gpt-4.1-mini-2025-04-14,0.375,0.125,,0.0
model_comparison_gpt-4.1-2025-04-14,0.275,0.025,0.0,
