experiment_file,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,39,0.975,47.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,35,0.875,37.5
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,31,0.775,47.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,26,0.65,15.0
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,280,173,0.618,13.9
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,19,0.475,2.5
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,15,0.375,62.5
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,280,93,0.332,23.9
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,280,64,0.229,50.0
gpt-4.1-2025-04-14_vs_all_others_control_comparison,280,61,0.218,52.5
