experiment,WikiSum-AT_2T_rec_Pr_total_trials,WikiSum-AT_2T_rec_Pr_correct_trials,WikiSum-AT_2T_rec_Pr_accuracy,WikiSum-AT_2T_rec_Pr_choice_1_pct,WikiSum-UT_2T_rec_Pr_total_trials,WikiSum-UT_2T_rec_Pr_correct_trials,WikiSum-UT_2T_rec_Pr_accuracy,WikiSum-UT_2T_rec_Pr_choice_1_pct,WikiSum_AT_pref_total_trials,WikiSum_AT_pref_correct_trials,WikiSum_AT_pref_accuracy,WikiSum_AT_pref_choice_1_pct,WikiSum_AT_rec_total_trials,WikiSum_AT_rec_correct_trials,WikiSum_AT_rec_accuracy,WikiSum_AT_rec_choice_1_pct,WikiSum_UT_pref_total_trials,WikiSum_UT_pref_correct_trials,WikiSum_UT_pref_accuracy,WikiSum_UT_pref_choice_1_pct,WikiSum_UT_rec_total_trials,WikiSum_UT_rec_correct_trials,WikiSum_UT_rec_accuracy,WikiSum_UT_rec_choice_1_pct
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,39,0.975,52.5,40,40,1.0,50.0,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,38,0.95,55.0,40,40,1.0,50.0,40,40,1.0,50.0,40,39,0.975,52.5,40,40,1.0,50.0,40,25,0.625,87.5
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,38,0.95,55.0,40,40,1.0,50.0,40,40,1.0,50.0,40,37,0.925,57.5,40,40,1.0,50.0,40,37,0.925,57.5
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,38,0.95,50.0,40,36,0.9,60.0,40,27,0.675,17.5,40,30,0.75,45.0,40,40,1.0,50.0,40,30,0.75,75.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,37,0.925,57.5,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,30,0.75,75.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,36,0.9,60.0,40,40,1.0,50.0,40,40,1.0,50.0,40,30,0.75,75.0,40,40,1.0,50.0,40,21,0.525,97.5
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,157,0.654,53.8,240,152,0.633,73.3,240,184,0.767,26.7,240,129,0.538,80.4,240,202,0.842,43.3,240,135,0.562,92.1
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,20,0.5,100.0,40,29,0.725,77.5,40,27,0.675,82.5,40,20,0.5,100.0,40,35,0.875,62.5,40,20,0.5,100.0
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,115,0.479,94.6,240,121,0.504,97.9,240,97,0.404,49.6,240,104,0.433,65.0,240,96,0.4,55.0,240,116,0.483,97.5
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,115,0.479,62.9,240,112,0.467,89.2,240,132,0.55,24.2,240,104,0.433,73.3,240,134,0.558,26.7,240,105,0.438,85.4
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,19,0.475,72.5,40,25,0.625,82.5,40,40,1.0,50.0,40,25,0.625,87.5,40,39,0.975,52.5,40,22,0.55,95.0
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,113,0.471,66.2,240,119,0.496,79.6,240,84,0.35,19.2,240,120,0.5,89.2,240,50,0.208,40.0,240,122,0.508,98.3
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,16,0.4,55.0,40,22,0.55,85.0,40,23,0.575,37.5,40,19,0.475,87.5,40,37,0.925,52.5,40,21,0.525,97.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,15,0.375,82.5,40,28,0.7,80.0,40,40,1.0,50.0,40,30,0.75,75.0,40,40,1.0,50.0,40,23,0.575,92.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,9,0.225,67.5,40,25,0.625,87.5,40,40,1.0,50.0,40,27,0.675,82.5,40,40,1.0,50.0,40,20,0.5,100.0
