experiment,WikiSum-AT_IR_total_trials,WikiSum-AT_IR_correct_trials,WikiSum-AT_IR_accuracy,WikiSum-AT_IR_choice_1_pct,WikiSum-AT_IR_Pr_total_trials,WikiSum-AT_IR_Pr_correct_trials,WikiSum-AT_IR_Pr_accuracy,WikiSum-AT_IR_Pr_choice_1_pct,WikiSum-UT_IR_total_trials,WikiSum-UT_IR_correct_trials,WikiSum-UT_IR_accuracy,WikiSum-UT_IR_choice_1_pct,WikiSum-UT_IR_Pr_total_trials,WikiSum-UT_IR_Pr_correct_trials,WikiSum-UT_IR_Pr_accuracy,WikiSum-UT_IR_Pr_choice_1_pct
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,39,0.975,47.5,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,30,0.75,70.0,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,32,0.8,50.0,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,26,0.65,45.0,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,38,0.95,55.0,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,15,0.375,77.5,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,34,0.85,35.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,31,0.775,27.5,40,40,1.0,50.0,40,22,0.55,5.0,40,39,0.975,47.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,21,0.525,7.5,40,40,1.0,50.0,40,22,0.55,5.0,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,9,0.225,27.5,40,40,1.0,50.0,40,20,0.5,5.0,40,35,0.875,37.5
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,280,51,0.182,46.1,280,182,0.65,23.6,280,110,0.393,21.4,280,173,0.618,13.9
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,7,0.175,52.5,40,36,0.9,40.0,40,0,0.0,50.0,40,31,0.775,47.5
gpt-4.1-2025-04-14_vs_all_others_control_comparison,280,44,0.157,50.0,280,47,0.168,50.4,280,40,0.143,50.0,280,61,0.218,52.5
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,280,42,0.15,50.0,280,43,0.154,49.6,280,55,0.196,43.2,280,93,0.332,23.9
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,280,39,0.139,49.6,280,91,0.325,45.4,280,40,0.143,50.0,280,64,0.229,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,1,0.025,52.5,40,21,0.525,62.5,40,0,0.0,50.0,40,15,0.375,62.5
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,0,0.0,50.0,40,34,0.85,40.0,40,12,0.3,20.0,40,26,0.65,15.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,0,0.0,50.0,40,1,0.025,47.5,40,4,0.1,40.0,40,19,0.475,2.5
