experiment_file,WikiSum-AT_2T_pref_NPr_total_trials,WikiSum-AT_2T_pref_NPr_correct_trials,WikiSum-AT_2T_pref_NPr_accuracy,WikiSum-AT_2T_pref_NPr_choice_1_pct,WikiSum-AT_2T_rec_NPr_total_trials,WikiSum-AT_2T_rec_NPr_correct_trials,WikiSum-AT_2T_rec_NPr_accuracy,WikiSum-AT_2T_rec_NPr_choice_1_pct,WikiSum-AT_2T_rec_Pr_total_trials,WikiSum-AT_2T_rec_Pr_correct_trials,WikiSum-AT_2T_rec_Pr_accuracy,WikiSum-AT_2T_rec_Pr_choice_1_pct,WikiSum-AT_IR_rec_NPr_total_trials,WikiSum-AT_IR_rec_NPr_correct_trials,WikiSum-AT_IR_rec_NPr_accuracy,WikiSum-AT_IR_rec_NPr_choice_1_pct,WikiSum-AT_IR_rec_Pr_total_trials,WikiSum-AT_IR_rec_Pr_correct_trials,WikiSum-AT_IR_rec_Pr_accuracy,WikiSum-AT_IR_rec_Pr_choice_1_pct,WikiSum-UT_2T_pref_NPr_total_trials,WikiSum-UT_2T_pref_NPr_correct_trials,WikiSum-UT_2T_pref_NPr_accuracy,WikiSum-UT_2T_pref_NPr_choice_1_pct,WikiSum-UT_2T_rec_NPr_total_trials,WikiSum-UT_2T_rec_NPr_correct_trials,WikiSum-UT_2T_rec_NPr_accuracy,WikiSum-UT_2T_rec_NPr_choice_1_pct,WikiSum-UT_2T_rec_Pr_total_trials,WikiSum-UT_2T_rec_Pr_correct_trials,WikiSum-UT_2T_rec_Pr_accuracy,WikiSum-UT_2T_rec_Pr_choice_1_pct,WikiSum-UT_IR_rec_NPr_total_trials,WikiSum-UT_IR_rec_NPr_correct_trials,WikiSum-UT_IR_rec_NPr_accuracy,WikiSum-UT_IR_rec_NPr_choice_1_pct,WikiSum-UT_IR_rec_Pr_total_trials,WikiSum-UT_IR_rec_Pr_correct_trials,WikiSum-UT_IR_rec_Pr_accuracy,WikiSum-UT_IR_rec_Pr_choice_1_pct
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,40,1.0,50.0,40,25,0.625,87.5,40,19,0.475,72.5,40,9,0.225,27.5,40,40,1.0,50.0,40,39,0.975,52.5,40,22,0.55,95.0,40,25,0.625,82.5,40,20,0.5,5.0,40,35,0.875,37.5
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,40,1.0,50.0,40,27,0.675,82.5,40,9,0.225,67.5,40,21,0.525,7.5,40,40,1.0,50.0,40,40,1.0,50.0,40,20,0.5,100.0,40,25,0.625,87.5,40,22,0.55,5.0,40,40,1.0,50.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,40,1.0,50.0,40,30,0.75,75.0,40,15,0.375,82.5,40,31,0.775,27.5,40,40,1.0,50.0,40,40,1.0,50.0,40,23,0.575,92.5,40,28,0.7,80.0,40,22,0.55,5.0,40,39,0.975,47.5
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,34,0.85,35.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,39,0.975,47.5,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,40,1.0,50.0,40,37,0.925,57.5,40,38,0.95,55.0,40,0,0.0,50.0,40,1,0.025,47.5,40,40,1.0,50.0,40,37,0.925,57.5,40,40,1.0,50.0,40,4,0.1,40.0,40,19,0.475,2.5
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,37,0.925,57.5,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,30,0.75,75.0,40,40,1.0,50.0,40,30,0.75,70.0,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,26,0.65,45.0,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,40,1.0,50.0,40,39,0.975,52.5,40,38,0.95,55.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,25,0.625,87.5,40,40,1.0,50.0,40,38,0.95,55.0,40,40,1.0,50.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0,40,30,0.75,75.0,40,36,0.9,60.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,21,0.525,97.5,40,40,1.0,50.0,40,15,0.375,77.5,40,40,1.0,50.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,40,1.0,50.0,40,39,0.975,52.5,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,40,1.0,50.0,40,32,0.8,50.0,40,40,1.0,50.0
