subdirectory,tag_type,exp_type,paradigm,priming,mean_accuracy,std_accuracy,mean_choice_1_pct,std_choice_1_pct,num_experiments
WikiSum-AT_2T_pref_NPr,AT,2T,pref,NPr,0.8498000000000001,0.22655070305040234,45.36000000000001,14.501339321085593,20
WikiSum-AT_2T_rec_NPr,AT,2T,rec,NPr,0.7652,0.22595425713137046,66.14500000000001,17.362951331711105,20
WikiSum-AT_2T_rec_Pr,AT,2T,rec,Pr,0.7366499999999999,0.2767646301938089,61.625,15.095550930480703,20
WikiSum-AT_IR_rec_NPr,AT,IR,rec,NPr,0.5601499999999999,0.42949533114305705,44.910000000000004,11.592779059215674,20
WikiSum-AT_IR_rec_Pr,AT,IR,rec,Pr,0.7798499999999999,0.3422444917091627,47.95,7.2434725606467305,20
WikiSum-UT_2T_pref_NPr,UT,2T,pref,NPr,0.8891499999999999,0.22753976517708308,49.125,6.752065960640647,20
WikiSum-UT_2T_rec_NPr,UT,2T,rec,NPr,0.7108000000000001,0.2235989360675187,77.53999999999999,21.1534842221522,20
WikiSum-UT_2T_rec_Pr,UT,2T,rec,Pr,0.81125,0.2134495811291522,65.625,17.488398410013662,20
WikiSum-UT_IR_rec_NPr,UT,IR,rec,NPr,0.5187500000000002,0.35729110569747785,41.730000000000004,20.240451940034394,20
WikiSum-UT_IR_rec_Pr,UT,IR,rec,Pr,0.7760999999999999,0.29478929138588034,42.64,15.750568912030815,20
