experiment,total_trials,correct_trials,accuracy,choice_1_pct
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,40,40,1.0,50.0
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,240,239,0.996,50.4
gpt-4.1-2025-04-14_vs_all_others_control_comparison,240,238,0.992,50.8
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,240,236,0.983,49.2
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,40,39,0.975,52.5
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,240,232,0.967,49.2
gpt-4.1-2025-04-14_control_vs_capitalization_S4,40,38,0.95,55.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,40,36,0.9,60.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,40,34,0.85,60.0
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,40,33,0.825,67.5
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,40,26,0.65,85.0
gpt-4.1-2025-04-14_control_vs_capitalization_S2,40,20,0.5,100.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,40,20,0.5,100.0
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,40,20,0.5,100.0
gpt-4.1-2025-04-14_control_vs_typo_S2,40,20,0.5,100.0
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,40,20,0.5,95.0
gpt-4.1-2025-04-14_control_vs_typo_S4,40,20,0.5,100.0
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,40,19,0.475,97.5
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,40,19,0.475,97.5
