treatment,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14
capitalization_S2,0.975,0.65,0.5,0.5
capitalization_S4,1.0,1.0,0.85,0.95
typo_S2,0.9,0.5,0.475,0.5
typo_S4,0.825,0.5,0.475,0.5
model_comparison_anthropic_claude-3-5-haiku-20241022,,1.0,1.0,0.975
model_comparison_anthropic_claude-sonnet-4-20250514,1.0,,0.975,1.0
model_comparison_google_gemini-2.5-flash,0.975,1.0,0.975,1.0
model_comparison_google_gemini-2.5-pro,0.975,0.975,0.975,0.975
model_comparison_gpt-4o-mini,1.0,1.0,0.95,1.0
model_comparison_gpt-4.1-mini-2025-04-14,0.975,1.0,,1.0
model_comparison_gpt-4.1-2025-04-14,0.975,1.0,0.925,
