experiment,base_model,treatment,other_model,accuracy,choice_1_pct,total_trials,is_self_comparison
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,anthropic_claude-3-5-haiku-20241022,capitalization_S4,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,anthropic_claude-sonnet-4-20250514,capitalization_S4,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,1.0,50.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,1.0,50.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.975,52.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,1.0,50.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,1.0,50.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4o-mini,gpt-4o-mini,1.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.975,52.5,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,1.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,1.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.975,52.5,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,1.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,1.0,50.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,1.0,50.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.975,47.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.975,47.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.975,47.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.975,52.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4o-mini,gpt-4o-mini,1.0,50.0,40,False
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,anthropic_claude-3-5-haiku-20241022,capitalization_S2,,0.975,52.5,40,
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,1.0,50.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.975,47.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.975,47.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.975,47.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.925,52.5,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.95,50.0,40,False
gpt-4.1-2025-04-14_control_vs_capitalization_S4,gpt-4.1-2025-04-14,capitalization_S4,,0.95,55.00000000000001,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,anthropic_claude-3-5-haiku-20241022,typo_S2,,0.9,60.0,40,
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,gpt-4.1-mini-2025-04-14,capitalization_S4,,0.85,60.0,40,
