conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,1,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,1,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial2_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,2,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial2_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,2,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,3,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,3,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial4_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,4,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,4,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial5_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,5,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,5,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,6,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,6,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,7,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial7_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,7,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,8,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,8,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,9,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,9,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial10_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,10,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial10_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,10,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial11_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,11,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial11_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,11,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial12_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,12,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial12_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,12,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial13_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,13,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial13_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,13,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial14_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,14,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial14_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,14,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial15_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,15,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial15_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,15,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial16_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,16,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial16_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,16,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial17_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,17,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial17_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,17,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial18_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,18,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial18_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,18,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial19_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,19,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial19_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,19,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial20_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,20,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial20_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,20,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
