conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct,row_idx,treatment,has_injection,version,injected_text_token,original_text_token,selected_meaning,correct_meaning
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,1,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,1,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial2_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,2,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial2_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,2,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
trial3_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,3,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial3_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,3,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial4_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,4,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial4_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,4,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial5_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,5,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial5_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,5,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
