conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,1,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,1,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_google_gemini-2.5-flash_treatment_1,1,0,2,anthropic_claude-3-5-haiku-20241022,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_google_gemini-2.5-flash_treatment_2,1,0,2,anthropic_claude-3-5-haiku-20241022,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_google_gemini-2.5-pro_treatment_1,1,0,3,anthropic_claude-3-5-haiku-20241022,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_google_gemini-2.5-pro_treatment_2,1,0,3,anthropic_claude-3-5-haiku-20241022,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_gpt-4.1-2025-04-14_treatment_1,1,0,4,anthropic_claude-3-5-haiku-20241022,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_gpt-4.1-2025-04-14_treatment_2,1,0,4,anthropic_claude-3-5-haiku-20241022,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_gpt-4.1-mini-2025-04-14_treatment_1,1,0,5,anthropic_claude-3-5-haiku-20241022,gpt-4.1-mini-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_gpt-4.1-mini-2025-04-14_treatment_2,1,0,5,anthropic_claude-3-5-haiku-20241022,gpt-4.1-mini-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
